ID_val,Verbatim,Area,SubArea
14063,"Several times my phone device will not pair with the car, and when the phone rings, it doesn't come through the car.  Several times I've tried to make a call, and can not get my phone to pair with the car.",Bluetooth,Won't/Slow Pair
2834,Nav system is substantially inferior to apps such as Waze and Google Maps. As a result we 1) regret having it 2) do not use it.,Navigation,Customer Expectation
19508,Text messages appear on screen but will not read when opened.,Bluetooth,SMS
2803,"We haven't used the navigation system much. The passenger (me), when we are traveling, resorts to IPhone navigation, because the car will not allow adjustments while the vehicle is moving. While we understand this is a safety feature, it isnâ€™t necessary to stop when the passenger is able to negotiate the route via maps while moving. It would be nice to have the â€œPassengerâ€ option on the system.",Navigation,Customer Expectation
21018,(Copied from AEN97): When driving the radio 'hiccups' and changes the channel by adding new channels or deleting the channel I had selected leaving me without the music I have chosen.  I have not mentioned it to the dealer because he has had my car for nearly two weeks already for something else.,Display,Touchscreen Unresponsive
8774,it never get commands correct for calling conZZZts,Voice Recognition,Poor Recognition
7996,Find that you have to repeat yourself,Voice Recognition,Poor Recognition
6259,"It's near impossible to make a VR command to place a phone call using the phone book on the paired cell phone. The VR is just not recognizing anything. Fortunately, the only word it recognize well is 'Cancel' which I use a lot to abort faulty commands.Typically other manufacturer have a much better VR system, Infiniti for example.",Voice Recognition,Poor Recognition
3845,Does not recognize names well.,Voice Recognition,Poor Recognition
16452,"Navigation says no traffic nearby when we are in traffic, hard to determine how to find an address and add a POI to a trip. Nice graphics though. could not login to web system for traffic",Navigation,Traffic Info
9570,"Navigation system sucks doesn't work for me, neither does voice recognition!",Voice Recognition,Poor Recognition
2693,Does not recognize my flash drive to play musicsatellite radio drops signal,USB/Aux In,Device Not Recognized
16111,Sirius Radio reception goes out even in wide open spaces,XM Radio,Poor Reception
9930,"This navigational control system is the most unintuitive and illogically designed system I have ever seen.  It takes too many steps to accomplish simple operations.  Nowhere can I find a display of the vehicle's speed, nor is there a resettable trip odometer connected to the GPS.  There is no excuse to block certain operations while the vehicle is moving; the passenger should have access to these operations.  The book says voice commands can be used; however, the cabin has to be very quiet, and you must know the exact words to say for the many commands or they won't work.  This system is so bad, it would have been a deal-breaker had I taken the time to explore it more.  The music/radio control system is only marginally less complicated to operate.  There is a manual on/off/volume knob on the left side, but noticeably missing is an equivalent manual tuning knob on the right side!  I cannot stress enough how overly complicated this system is to use.",Navigation,DTU
5573,(Copied from AEN97): one out of 5 attempts to call a person.  Wrong conZZZt pulls up.,Voice Recognition,Poor Recognition
18776,"(Copied from AEN97): First the main Navigation and audio screen faded almost to black even though it was still light outside and so it was useless (Could not be seen at all).  It was an intermittent problem and was corrected by my finding a Technical Service Bulletin online in a Buick Envision Owners' Forum and taking it to my dealer, who applied a software update.  A month later on one occasion, the screen was totally off and could not be turned on so I could not see radio stations, or any touch screen buttons.  It stayed that way for about 100 miles, at which time it went to """"blue screen"""" full of computer code, although my driver info screen in the instrument panel still worked and could be used for turn-by-turn navigation via RRR.  I took a rest break at about the 150 mile mark, and when I started the vehicle after that stop, all returned to normal and has worked fine for the last 3 months.",Display,Black Screen
5810,It misinterprets what we say,Voice Recognition,Poor Recognition
10649,"Could not easily cancel nav; Maybe need more practice, not intuitively obvious.   Need to study manual more.",Navigation,DTU
18883,"Radio & central display screen would drop out, blank out, and reboot. On 2nd day of this, before I could get to dealer, couldn't turn radio off at all, without stopping engine & restarting.",Display,Black Screen
19855,"There are two modes. A light touch activates the signal for three """"blinks."""" A harder touch activates a continuous signal. Often, to be safe, three blinks is not enough, however if you activate the continuous signal, you have to push the signal arm the opposite direction. For me, when changing lanes, almost every time, it causes the signal to activate indicating a turn in the opposite direction.",Turn Signal Switch,DTU
13778,Certain highways.....in certain spots...the radio will go crazy then stop,Radio,Poor Reception
8806,I often have to repeat commands,Voice Recognition,Poor Recognition
15833,(Copied from AEN97): The user interface/options on my iPod do not translate fully to the audio controls in the vehicle.  They are even more limited when I use the USB connection versus Bluetooth.,Radio,DTU
5173,"doesn't understand address when given, gives a similar address but not correct one.",Voice Recognition,Poor Recognition
11695,"entering address has to be EXACTLY as the computer wants it to recognize it...have to put capital S for street as well as a period for it to allow next step.  push button for city, choose city, and system still puts up a drop down where you have to choose the city again.",Navigation,Destination Input
3786,Doesn't recognize names in my phone directory.,Voice Recognition,Poor Recognition
18837,"THURSDAY 3/16/17 DROVE FROM LANCASTER PA TO BALTIMORE MD AND STAYED OVERNIGHT AT A HOTEL WITH VALET PARKING ONLY. FRIDAY 3/17/17 RADIO,CD, BACK UP CAMERA, TIME AND EVERYTHING ELSE ASSOCIATED WITH THE SCREEN WAS BLACK. NO RESPONSE TO ON/OFF, NO BLOWN FUSE, CAN'T GET IN FOR SERVICE UNTIL 3/28/17.",Display,Black Screen
16382,At times seems to be off by up to a quarter of a mile.,Navigation,Positioning
19542,It loses a 'Minute' every now and then.,Driver Notifications,Wrong Time/Date
15018,"Sometimes it automatically connects to bluetooth, other times, when I answer the phone handsfree, really only my phone is connected and I have to pick it up while driving.  It varies time to time.",Bluetooth,Won't/Slow Connect
14928,Asks for Siri connection in addition to pairing and effectively does neither hands-free. custAttr4823,Bluetooth,Won't/Slow Connect
4684,when trying to make phone calls does not always recognize the name I am saying and gives me a choice of lines to choose from,Voice Recognition,Poor Recognition
1554,Intermittent problem with this,Bluetooth,Connection Loss
6834,The system does not respond well to verbal inputs or attempting to write on the knob.,Voice Recognition,Poor Recognition
9299,Poor response to voice commands. I've given up with voice commands and just go directly to my 'frequent call.',Voice Recognition,Poor Recognition
18687,(Copied from FCD97): Had one problem with the ignition that is would not start after turning off truck right away.  Also the touch screen restarted after the truck was running for about 5 minutes.,Display,Black Screen
6105,The sunroof when cracked open is very loud and it seems to interfere with voice recognition,Voice Recognition,Poor Recognition
20040,The preset buttons are way too sensitive. If you touch a preset button for more than a millisecond then the station you had stored there disappears,Radio,Presets DTU
14674,"Freezes up all the time. Really frustrating. It also locks up my phone and the sync is terrible. Once you get it to work and you turn the truck off and get out, went restart the truck, the connection will not connect back.",Display,Freezes/Locks Up
19108,"(Copied from AEN97): Sound stoped working on 2 occasions in the last 2 months, then spontaneously started working.",Audio,No Audio
4444,"Navigation misunderstands numbers, phone misunderstands names and overall, I think there are a few too many steps when initiating as the system tries to determine if i want navigation, phone, etc.",Voice Recognition,Poor Recognition
13777,too much static week signal on on FM,Radio,Poor Reception
6398,"I repeat slowly, it doesn't recognize what i'm trying to say more times than not.",Voice Recognition,Poor Recognition
11227,My car is fine. I just haven't taken the time to figure out all of the controls.,Navigation,DTU
6156,"System should recognize commands to adjust climate control temperature. Instead, it constantly defaults to music and asks which song to play.",Voice Recognition,Poor Recognition
19936,"When the drivers seat is set in the far back position, the window controls & side mirror controls are too far forward on the door panel. I have to lean forward to be able to control these features. I have very long arms & even with this, I am forced to lean way too forward in order to operate these controls.",Window Switch,Poor Location
16458,Poor ETA calculation and poor route choice,Navigation,Traffic Info
6303,When I ask to take me to a particular address it ask me who do I want to call. Once it proceeded to call someone who I did not want to speak to!,Voice Recognition,Poor Recognition
18800,(Copied from AEN97): The video screen will go black and the only way I can get the screen information back is to out the car in reverse,Display,Black Screen
18180,"inside center console, hard to access",Power Outlet,Poor Location
14746,Some phones will connect through Bluetooth and others donâ€™t.,Bluetooth,Won't/Slow Connect
10972,Non-intutive,Navigation,DTU
12655,There is no compass with just a simple N-E-S-W displayed anywhere - if I pull that up from the Navigation - it takes up 1/3 of the screen & is just the needle compass - it is very handy to know at all times what direction you are traveling in & this car doesn't have that.  Navigation - it is sometimes tricky to pull up a saved address or route.,Navigation,Map Info
9248,"Granted I have a southern accent, but even with additional voice regogniction program it still has problems understanding my commands.",Voice Recognition,Poor Recognition
15649,Too many to choose from and select,Radio,DTU
416,USB Port should be in center console,USB/Aux In,Poor Location
16822,The car has Android Auto and it will frequently crash throughout a drive.,Android Auto,Stability
13298,Satellite radio just goes off for a few seconds then it comes back on. It loses signal.,Radio,Poor Reception
20208,(Copied from AEN97): We connected two iPhones.  One phone somehow got disconnected and I have not been able to reconnect.,Bluetooth,Pairing Loss
11897,"It's not that the destination is inaccurate (once I go through the frustrations of entering it) but the route is neither fast nor short, just convoluted.",Navigation,Destination Input
13032,Took it back to dealer. Said they connected their phones and had no problem. My phone still very static when making calls.,Bluetooth,Audio Streaming/Distortion
6885,Doesn't follow commands for searching for GPS locations.  Using CarPlay with iPhone is a good alternative which works fine.,Voice Recognition,Poor Recognition
17737,"Don't even know about this control, where it is or how it works (Copied from FCD97): Emergency flashers, not easily found. Needed to read manual to determine where the control is. Should be a no brainer",Lighting Switch,DTU
6062,you have to speak very slowly or you'll end up in the wrong state for navigation. :)  For the most part it works well,Voice Recognition,Poor Recognition
10289,Interface is clunky and confusing.,Navigation,DTU
289,"small space that I have to sqeeze my hand into not enough space to hold devices and cords. (Copied from FCD97): The usb plugin is in a tight space.  Also, would like more usb connections in a more accessible place.",USB/Aux In,Poor Location
13839,"I've noticed there are several """"dead zones"""" where I lose reception, more often than I've observed in previous cars.",Radio,Poor Reception
14281,(Copied from AEN97): Audio system goes into standby when connected to Bluetooth and if you do not press the button to turn it off and turn off the vehicle the system will stay off until you drive the vehicle to your destination and turn the vehicle off and restart it,Radio,Not Functioning
6227,"Voice recognition seems 10 years behind my iPhone.  Slow, poor recognition.",Voice Recognition,Poor Recognition
19362,(Copied from AEN97): Front speaker driver side,Audio,Bad sound Quality
11500,"I seem to have an issue with 'timing' my verbal commands. I believe I hear a beep that suggests it is time to speak but it is not, I need to wait for another beep before speaking. There is a visual in the dash (between speedometer and odometer) that lights when it is time to speak but the audio beep makes me speak too soon.",Voice Recognition,DTU
19546,"Clock is always behind one or two minutes, even when manually reset, it will still try to 'auto sync'even though I have the function turned off. however the auto sync shows a min or two behind cell phone etc... not that big of a deal, just kind of annoying.",Driver Notifications,Wrong Time/Date
16487,Traffic doesnt work,Navigation,Traffic Info
11117,I've stopped using it and prefer Google maps on my phone instead. The installed nav system is just too complicated to use.,Navigation,DTU
12937,Dissapointment with the fact that it does not pair well with Ipone or Ipad.  It will allow streaming of video easily from Android devices but not Apple.  Really disappointing.  Then when you play a DVD and want to listen to the sound in the vehicle you have to pair with the vehicles Bluetooth which causes a lag in sound from what is going on on the actual screen.  Again just not well thought out. (Copied from INT97): Lag with the rear seat entertainment and Bluetooth sound in the vehicle.  The sound is behind what is going on the screen.  Also the rear seat entertainment is not Apple Iphone/Ipad friendly.,Bluetooth,Audio Streaming/Distortion
16545,"already explained. (Copied from FCD97): The Bluetooth system in the 2017 cruze is not up to the standards that we were accustomed to as in the 2016 Malibu that we had.  We are very disappointed in the system in the 2017.....the system in the 2016 was much better!  And easier to use, and had voice recognition; also we  always had both of our cell phones in the Malibu and either one could be used and answered.....we now have to change the main cell phone in the car every time we use the car to the preferred phone.",Bluetooth,Customer Expectation
20322,I feel that the iDrive controller is too tall so when you manuall shift gears you rub on the iDrive knob. When you rest your arm on the arm rest you are also resting on the iDrive knob.,Other,Customer Expectation
10033,This is my 3rd Audi A5.  I always felt like the nav system was built so that it would SUPER easy to use and very logical.  This system is far from that and is not intuitive,Navigation,DTU
20268,Sometimes it will not locate my phone.  I have to re-pair it.,Bluetooth,Pairing Loss
8662,"Even after trained systems still confuses words.  The menu is too long.  I should be able to say """"go home."""" But to get it to properly understand me. I have to say """"Goto navigation,"""" and then """"Go home.""""",Voice Recognition,Poor Recognition
14770,"Just an occasional unexpected fail-to-connect.  (It's not the pairing that fails because a reconnect works without going through a re-pairing process.)  Just sometimes attempt to make a call or a call comes in and the bluetooth connection isn't there.  Multiple phones, single vehicle -- it's not the phones.  (Google Pixel 2 in this case.)",Bluetooth,Won't/Slow Connect
13311,Reception goes off a lot,Radio,Poor Reception
5664,Just doesnâ€™t recognize names when I ask it to call different people,Voice Recognition,Poor Recognition
5771,nav and music also pandora  never works correctly,Voice Recognition,Poor Recognition
12386,refers to Interstate 95 as State Road 9.,Navigation,Out Dated
395,"It is located under the armrest, so you have to reach forward, then backward to plug it in.  It's hard to plug in and feels like you are going to damage it by pressing so hard.  And only one USB there seems chintzy.  There should be at least two",USB/Aux In,Poor Location
17052,Gave wrong directions once. Frequently did not recalculate when I deviated from system directions.,Navigation,Route Guidance
21063,It is very carefully hidden.,Additional Switches,Poor Location
43,Located in center console armrest storage area that is too small-no convenient way to close lid with device and wire outside.,USB/Aux In,Poor Location
12231,It is to difficult to understand the controls. The dealer was supposed to come to explain it but never did.,Display,DTU
12672,"The colors used, the small print, and the white on gray lettering makes it very difficult to see the map when glancing down quickly.",Navigation,Map Info
12080,Disappointed,Other,Not Enough Info
8183,"Misinterprets names, gets commands wrong",Voice Recognition,Poor Recognition
2721,"as I said before, needs time to recognize something is connected thru USB port. In my previous X3 USB port worked great. No issues. (Copied from FCD97): USB port, every time I turn the car on USB port needs some time (more than 5 minutes some days) to recognize something is plug there",USB/Aux In,Device Not Recognized
15298,"occasionally it won't """"find"""" or pair with my phone, usually will the very next start/trip",Bluetooth,Won't/Slow Connect
19774,"(Copied from AEN97): Sometimes when I get in my car and I don't have Pandora or Spotify open, my car will automatically start playing from my iTunes music app on my phone, which I never have open because I never use it.  It's all stuff that I had to download from iTunes for a work event or my brother's wedding, so it's really terrible music.  Since I downloaded it from iTunes, I will never be able to get rid of it.  Anyway, I hate that the car automatically pulls up that app and starts playing the Oak Ridge Boys or whatever.  It's so embarrassing.  It's a good thing I'm already married and don't have to worry about impressing anyone.  Is anyone reading this?",Radio,Customer Expectation
995,Front USB ports are hard to see and access and interfere with the front storage compartment.  Very poor overall design.,USB/Aux In,Poor Location
16577,"To completely shut the sunroof, it is not simply pushing the button forward until the sunroof shuts completely. A few times, as I'm driving, I can hear wind noise and once I realized it's the sunroof not completely closed, it takes a minute (usually, once I stop) to fully close it.",Sunroof Switch,DTU
11586,very hard to use hand free commands. Lexus is better (Copied from AEN97): voice command is really hard to use,Voice Recognition,DTU
18744,(Copied from AEN97): navigation black out for 1-2 minutes,Display,Black Screen
19670,Clock is way too small and cant be easily located as a result.,Driver Notifications,Wrong Time/Date
12887,Bass being at 50% or above caused a vibration / crackling sound in the front drivers side area,Audio,Vibration/Rattle
4463,"Frequently have to back out and restart directions when using navigation -- system does not hear the complete address correctly.  And I have a very clear, 'radio announcer' type voice.  I have not reported this to the dealer yet as I realize these systems are still far from perfect and there's little if anything the dealer can do about voice recognition.  I don't believe the equipment itself is 'faulty.'",Voice Recognition,Poor Recognition
17536,Navigation system and radio shut down temporarily.,Navigation,Not Functioning
16934,Recently my wife went on a road trip and she used the navigation system. Three times the GPS took her on a extra long route just to arrive back to a street she could have made a few short turns to get to.,Navigation,Route Guidance
10655,see above,Navigation,DTU
12601,"The navigation is not up to date on newer roads. Also, twice the nav system identified the address I needed but it was incorrect.",Navigation,Out Dated
13840,A few am radio stations (that I had no problem turning into in my previous vehicles) seem to have poor reception.,Radio,Poor Reception
17074,The ports sometimes do not recognize a device as being connected. Vehicle restart is required to fix the problem.,USB/Aux In,USB Not Functioning
8004,It doesn't understand the simple commands of dialing a person number or a street address this could be my accent,Voice Recognition,Poor Recognition
16801,"I'm not a total idiot, and I have had several cars with Moon/Sun roofs and I find the CX90's controls highly Non-Intuitive.",Sunroof Switch,DTU
9655,Awaittig service time,Bluetooth,Not Enough Info
16635,"We were told that we would have to develop a 'feel' for the operation of the sunroof. It seems that there should be positive detents in the controls. When trying to close/open the  sunroof, we often inadvertently open the glass.",Sunroof Switch,DTU
18236,I would have moved it closer,Power Outlet,Poor Location
12509,Just plain inaccurate and out of date,Navigation,Out Dated
18500,(Copied from INT97): The QI phone chargeron the top of the console does not work properly,Not PPEC 7,Other
15024,"blue tooth doesnt detect my phone, the bluetooth has the car but, car does not and we cant connect properly",Bluetooth,Won't/Slow Connect
11616,It understands the commands but does not understand the locations and street names I want it to find. (Copied from FCD97): 1) The voice recognition system does not work properly.  Despite utilizing the voice training it never recognizes what I say.  2) The navigation system chooses poor routes around 15% of the time.  3) In parking mode the all-around camera option in the secondary display turns off every 3-4 times and goes back to the sensor picture so I keep having to go into the settings and changing it.,Navigation,Destination Input
6568,Entering complete addresses for Navigation will often result in partial address entry or incorrect addresses.,Voice Recognition,Poor Recognition
2335,Will occasionally drop my bluetooth connection.  Then can't load conZZZts.,Bluetooth,Connection Loss
5300,(Copied from AEN97): The bluetooth and voice command did not work at all. System was replaced. Phone calls don't always get to bluetooth and directed to my phone while driving even though the my-car and bluetooth are on.,Voice Recognition,Poor Recognition
9375,"Voice command to play a certain artist, it played something that didn't even sound like what I requested.",Voice Recognition,Poor Recognition
12444,I live on a military base and it consistently tries to route me a way that has been closed for years (more than 10 years). I use the waze app more often and connect it via the android auto connection. This then doesn't display directions in the HUD.,Navigation,Out Dated
10857,"As recently as last month going through St. Louis, Missouri the exits and turns were difficult to distinguish.",Navigation,DTU
15503,"apple car play not working (Copied from FCD97): Apple car play  stopped working;  on the advice of my salesperson I stopped in to have the system checked, when I left car play was working but after turning the engine off and a restart, the car play is not working.  The service shop manager spent a good 45 minute to get the system back on-he was terrific!I have no navigation card so I have to use my phone on road trips.  Sales person called to check on me and suggested I make another appointment.",Apple Car Play,Not Functioning
12450,The NavSys maps are at least 3 years out of date. Roads completed since then do not appear on the map. I sat at the dealership for 3.5 hours while they updated it - it did not changed anything but the version number decimal. I also find it criminal that I am expected to pay $45-$50 for each update. My $200 Garmin has all new roads and FREE LIFE-TIME updates.,Navigation,Out Dated
9633,sounds like a short.   works inconsistently going into shop.,Bluetooth,Not Enough Info
14922,"When I enter the vehicle while on FaceTime on my iPhone X, the sound doesn't switch to the car speakers. I have to hang up the call and then call the person back on FaceTime so that I can hear the other person and so they can hear me.",Bluetooth,Won't/Slow Connect
19614,"When the time changed the clock should have moved forward an hour; but, moved back an hour instead. This makes the clock 2 hours off. The minutes are always accurate; but, the hours are not.",Driver Notifications,Wrong Time/Date
16159,(Copied from AEN97): Satallite radio reception is poor.  Probably a poor antenna system.  Had same problem with a 2016    My other vehicles do not have to his problem,XM Radio,Poor Reception
